Analyte#	Protein ID	Entry Name	Protein Description	Gene	Contaminants	Protein Group	Sub Group	Number of  Used Peptide Ions	Value.NM	Value.MIC	Numb.NM	Numb.MIC	Median.NM	Median.MIC	Avg.NM	Avg.MIC	STD.NM	STD.MIC	CV.NM	CV.MIC	pval.Multiple.ANOVA	pval.NM.vs.MIC.ttest
3273	XP_030837569.1	---	XP_030837569.1 eukaryotic translation initiation factor 2A-like [Strongylocentrotus purpuratus]	---	N	2095	a	13	0.861; 1.42; 0.959	0.585; 1.224; 0.955	3	3	0.959	0.955	1.080	0.921	0.298	0.321	27.59	34.85	0.564589080100475	0.564589080100475
3274	XP_030837574.1	---	XP_030837574.1 TBC1 domain family member 24 isoform X5 [Strongylocentrotus purpuratus]	---	N	5761	a	1	---; 0.834; 0.887	---; 1.114; 1.113	2	2	0.861	1.114	0.861	1.114	0.037	0.001	4.30	0.09	---	---
3275	XP_030837575.1	---	XP_030837575.1 5'-nucleotidase domain-containing protein 3 [Strongylocentrotus purpuratus]	---	N	2096	a	8	0.693; 0.928; 1.173	0.234; 0.975; 1.273	3	3	0.928	0.975	0.931	0.827	0.240	0.535	25.78	64.69	0.774023966234405	0.774023966234405
3276	XP_030837577.1	---	"XP_030837577.1 succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like [Strongylocentrotus purpuratus]"	---	N	2097	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3277	XP_030837581.1	---	XP_030837581.1 gamma-tubulin complex component 3 [Strongylocentrotus purpuratus]	---	N	2098	a	35	0.856; 1; 1	1.071; 0.963; 1.024	3	3	1.000	1.024	0.952	1.019	0.083	0.054	8.72	5.30	0.305010202394615	0.305010202394615
3278	XP_030837584.1	---	XP_030837584.1 TRAF2 and NCK-interacting protein kinase isoform X2 [Strongylocentrotus purpuratus]	---	N	5762	a	1	0.901; 0.217; 5.454	0.841; 1.099; 3.198	3	3	0.901	1.099	2.191	1.713	2.847	1.293	129.94	75.48	0.804246107206435	0.804246107206435
3279	XP_030837586.1	---	XP_030837586.1 PCI domain-containing protein 2 isoform X1 [Strongylocentrotus purpuratus]	---	N	5763	a	3	0.782; 1.132; 1.328	0.778; 0.795; 1.218	3	3	1.132	0.795	1.081	0.930	0.277	0.249	25.62	26.77	0.522888566108504	0.522888566108504
3280	XP_030837590.1	---	XP_030837590.1 TSC22 domain family protein 2-like [Strongylocentrotus purpuratus]	---	N	2099	a	6	0.31; 1.093; 1.019	1; 0.953; 1	3	3	1.019	1.000	0.807	0.984	0.432	0.027	53.53	2.74	0.518136261223211	0.51813626122321
3281	XP_030837594.1	---	XP_030837594.1 chromodomain-helicase-DNA-binding protein 1-like isoform X1 [Strongylocentrotus purpuratus]	---	N	5765	b	1	---; 0.759; 1.484	---; ---; 1	2	1	1.121	1.000	1.121	1.000	0.513	0	45.76	0.00	---	---
3282	XP_030837605.1	---	XP_030837605.1 integrator complex subunit 6-A-like isoform X1 [Strongylocentrotus purpuratus]	---	N	2100	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3283	XP_030837611.1	---	XP_030837611.1 uncharacterized protein LOC115918524 [Strongylocentrotus purpuratus]	---	N	5764	a	1	0.913; 0.781; 3.361	1.087; 0.695; 2.817	3	3	0.913	1.087	1.685	1.533	1.453	1.129	86.23	73.65	0.893149604194905	0.893149604194906
3284	XP_030837614.1	---	XP_030837614.1 DNA-directed RNA polymerase II subunit RPB1 [Strongylocentrotus purpuratus]	---	N	2101	a	59	0.969; 1.077; 1.085	0.845; 0.991; 1.072	3	3	1.077	0.991	1.044	0.969	0.065	0.115	6.23	11.87	0.3846993661003	0.3846993661003
3285	XP_030837615.1	---	XP_030837615.1 chromodomain-helicase-DNA-binding protein 1-like [Strongylocentrotus purpuratus]	---	N	5765	a	2	1.146; 1.083; 1.051	0.862; 0.656; 1.085	3	3	1.083	0.862	1.093	0.868	0.048	0.215	4.39	24.77	0.150173071141883	0.150173071141883
3286	XP_030837621.1	---	XP_030837621.1 DIS3-like exonuclease 2 [Strongylocentrotus purpuratus]	---	N	5766	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3287	XP_030837622.1	---	XP_030837622.1 remodeling and spacing factor 1-like [Strongylocentrotus purpuratus]	---	N	2102	a	2	---; ---; 0.815	---; ---; 1.185	1	1	0.815	1.185	0.815	1.185	0	0	0.00	0.00	---	---
3288	XP_030837626.1	---	XP_030837626.1 E3 ubiquitin-protein ligase TRIP12 [Strongylocentrotus purpuratus]	---	N	5767	a	3	1.131; 1.03; 1	0.846; 0.924; 0.925	3	3	1.030	0.924	1.054	0.898	0.069	0.045	6.55	5.01	0.030755478271378	0.030755478271378
3289	XP_030837640.1	---	XP_030837640.1 heparan sulfate glucosamine 3-O-sulfotransferase 5-like [Strongylocentrotus purpuratus]	---	N	5768	a	1	1.913; 0.717; 1.146	0.854; ---; ---	3	1	1.146	0.854	1.259	0.854	0.606	0	48.13	0.00	---	---
3290	XP_030837643.1	---	XP_030837643.1 rhomboid-related protein 4 [Strongylocentrotus purpuratus]	---	N	7517	a	2	1.037; 0.737; ---	1; ---; ---	2	1	0.887	1.000	0.887	1.000	0.212	0	23.90	0.00	---	---
3291	XP_030837644.1	---	XP_030837644.1 tubulin alpha-1 chain-like [Strongylocentrotus purpuratus]	---	N	6395	f	5	1.3; 1.434; 0.342	1.373; 0.787; 0.252	3	3	1.300	0.787	1.025	0.804	0.596	0.561	58.15	69.78	0.663704411990568	0.663704411990568
3292	XP_030837647.1	---	XP_030837647.1 uncharacterized protein LOC115922618 [Strongylocentrotus purpuratus]	---	N	6991	a	2	1.181; 0.719; 1.359	4.137; 1.045; 0.706	3	3	1.181	1.045	1.086	1.963	0.330	1.891	30.39	96.33	0.473283927487938	0.473283927487938
3293	XP_030837648.1	---	XP_030837648.1 uncharacterized protein LOC100892892 [Strongylocentrotus purpuratus]	---	N	2103	a	2	1.584; 1.074; 1.134	0.588; 0.688; 0.675	3	3	1.134	0.675	1.264	0.650	0.279	0.054	22.07	8.31	0.020075580862804	0.0200755808628039
3294	XP_030837652.1	---	XP_030837652.1 integrator complex subunit 4 [Strongylocentrotus purpuratus]	---	N	2104	a	2	1.009; 1; 1.231	---; 0.61; 0.827	3	2	1.009	0.718	1.080	0.718	0.131	0.153	12.13	21.31	---	---
3295	XP_030837653.1	---	XP_030837653.1 lymphokine-activated killer T-cell-originated protein kinase-like [Strongylocentrotus purpuratus]	---	N	2105	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3296	XP_030837655.1	---	XP_030837655.1 E3 ubiquitin-protein ligase RNF13-like isoform X1 [Strongylocentrotus purpuratus]	---	N	2106	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3297	XP_030837668.1	---	XP_030837668.1 GRB10-interacting GYF protein 2 isoform X1 [Strongylocentrotus purpuratus]	---	N	5769	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3298	XP_030837669.1	---	XP_030837669.1 nuclear fragile X mental retardation-interacting protein 1 [Strongylocentrotus purpuratus]	---	N	5770	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3299	XP_030837670.1	---	XP_030837670.1 microtubule-associated protein futsch-like [Strongylocentrotus purpuratus]	---	N	5771	a	1	---; ---; 1.072	---; ---; 0.928	1	1	1.072	0.928	1.072	0.928	0	0	0.00	0.00	---	---
3300	XP_030837674.1	---	XP_030837674.1 guanine nucleotide exchange factor DBS isoform X1 [Strongylocentrotus purpuratus]	---	N	2107	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3301	XP_030837682.1	---	"XP_030837682.1 dynein heavy chain 2, axonemal [Strongylocentrotus purpuratus]"	---	N	2108	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3302	XP_030837685.1	---	XP_030837685.1 transmembrane protein 256 homolog [Strongylocentrotus purpuratus]	---	N	9177	a	1	0.529; 0.785; 0.849	1.276; 1.412; 1.151	3	3	0.785	1.276	0.721	1.280	0.169	0.131	23.44	10.23	0.0106111521051253	0.0106111521051253
3303	XP_030837694.1	---	XP_030837694.1 uncharacterized protein LOC105442482 [Strongylocentrotus purpuratus]	---	N	2109	a	1	1.126; ---; ---	0.874; ---; ---	1	1	1.126	0.874	1.126	0.874	0	0	0.00	0.00	---	---
3304	XP_030837701.1	---	XP_030837701.1 uncharacterized protein LOC105447242 [Strongylocentrotus purpuratus]	---	N	2110	a	4	0.932; 0.712; 1.047	1.106; 0.548; 1.084	3	3	0.932	1.084	0.897	0.913	0.170	0.316	18.95	34.61	0.943367021436942	0.943367021436942
3305	XP_030837702.1	---	XP_030837702.1 F-box-like/WD repeat-containing protein TBL1XR1 [Strongylocentrotus purpuratus]	---	N	2111	a	26	1.011; 1; 1.185	0.938; 0.811; 1	3	3	1.011	0.938	1.065	0.916	0.104	0.096	9.77	10.48	0.142467444292624	0.142467444292624
3306	XP_030837704.1	---	XP_030837704.1 tctex1 domain-containing protein 2 [Strongylocentrotus purpuratus]	---	N	2112	a	5	0.998; 1.028; 1.043	0.931; 0.97; 1.014	3	3	1.028	0.970	1.023	0.972	0.023	0.042	2.25	4.32	0.134099312572807	0.134099312572807
3307	XP_030837707.1	---	XP_030837707.1 WD repeat-containing protein 44 [Strongylocentrotus purpuratus]	---	N	6397	c	1	1.244; 1.501; 0.598	---; 1; 0.693	3	2	1.244	0.847	1.114	0.847	0.465	0.217	41.74	25.62	---	---
3308	XP_030837710.1	---	XP_030837710.1 major facilitator superfamily domain-containing protein 1 isoform X1 [Strongylocentrotus purpuratus]	---	N	2113	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3309	XP_030837713.1	---	XP_030837713.1 ribonuclease H2 subunit B [Strongylocentrotus purpuratus]	---	N	2114	a	14	0.953; 1; 1.073	1.004; 1.034; 0.961	3	3	1.000	1.004	1.009	1.000	0.060	0.037	5.95	3.70	0.836355195736066	0.836355195736066
3310	XP_030837714.1	---	XP_030837714.1 zinc finger B-box domain-containing protein 1 isoform X1 [Strongylocentrotus purpuratus]	---	N	2115	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3311	XP_030837716.1	---	XP_030837716.1 tetraspanin-6 [Strongylocentrotus purpuratus]	---	N	2116	a	3	0.882; 1.072; 0.666	1.295; 3.647; 0.855	3	3	0.882	1.295	0.873	1.932	0.203	1.501	23.25	77.69	0.292600554575036	0.292600554575036
3312	XP_030837717.1	---	XP_030837717.1 sodium/hydrogen exchanger 6 isoform X2 [Strongylocentrotus purpuratus]	---	N	5772	a	1	0.943; 0.713; 0.778	1.887; 1.206; 1.057	3	3	0.778	1.206	0.811	1.383	0.119	0.443	14.67	32.03	0.09660368159405	0.0966036815940501
3313	XP_030837719.1	---	"XP_030837719.1 putative lipoyltransferase 2, mitochondrial [Strongylocentrotus purpuratus]"	---	N	2117	a	3	0.391; 0.903; 1.179	---; 0.857; 1.473	3	2	0.903	1.165	0.824	1.165	0.400	0.436	48.54	37.42	---	---
3314	XP_030837722.1	---	XP_030837722.1 activating signal cointegrator 1 complex subunit 1 [Strongylocentrotus purpuratus]	---	N	5773	a	5	0.81; 1.258; 0.926	0.925; 0.637; 1.244	3	3	0.926	0.925	0.998	0.935	0.233	0.304	23.35	32.51	0.790634818986311	0.790634818986311
3315	XP_030837724.1	---	"XP_030837724.1 FERM, ARHGEF and pleckstrin domain-containing protein 1 [Strongylocentrotus purpuratus]"	---	N	2118	a	8	0.952; 1.048; 0.952	1.229; 1.36; 0.901	3	3	0.952	1.229	0.984	1.163	0.055	0.236	5.59	20.29	0.270044916211357	0.270044916211357
3316	XP_030837726.1	---	XP_030837726.1 fibronectin type-III domain-containing protein 3A [Strongylocentrotus purpuratus]	---	N	2119	a	25	0.924; 0.936; 1.037	0.922; 1.206; 1.013	3	3	0.936	1.013	0.966	1.047	0.062	0.145	6.42	13.85	0.422304302236093	0.422304302236093
3317	XP_030837729.1	---	XP_030837729.1 E3 SUMO-protein ligase RanBP2 isoform X1 [Strongylocentrotus purpuratus]	---	N	5774	c	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3318	XP_030837737.1	---	XP_030837737.1 RANBP2-like and GRIP domain-containing protein 5/6 isoform X1 [Strongylocentrotus purpuratus]	---	N	5774	b	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3319	XP_030837740.1	---	XP_030837740.1 RANBP2-like and GRIP domain-containing protein 5/6 isoform X4 [Strongylocentrotus purpuratus]	---	N	5774	a	1	---; 1.206; ---	---; 0.794; ---	1	1	1.206	0.794	1.206	0.794	0	0	0.00	0.00	---	---
3320	XP_030837750.1	---	"XP_030837750.1 probable glutamate--tRNA ligase, mitochondrial isoform X1 [Strongylocentrotus purpuratus]"	---	N	2120	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3321	XP_030837753.1	---	XP_030837753.1 mitochondrial import inner membrane translocase subunit TIM14 [Strongylocentrotus purpuratus]	---	N	7460	a	1	0.849; 1.1; 1.072	0.717; 0.928; 1.181	3	3	1.072	0.928	1.007	0.942	0.138	0.232	13.70	24.63	0.698083247432217	0.698083247432217
3322	XP_030837761.1	---	"XP_030837761.1 RNA-binding motif protein, X chromosome isoform X2 [Strongylocentrotus purpuratus]"	---	N	5775	a	1	1.325; 0.761; 1.042	1.162; 0.813; 0.958	3	3	1.042	0.958	1.043	0.978	0.282	0.175	27.04	17.89	0.751628474131302	0.751628474131302
3323	XP_030837764.1	---	"XP_030837764.1 RNA-binding motif protein, X chromosome isoform X5 [Strongylocentrotus purpuratus]"	---	N	5775	b	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3324	XP_030837772.1	---	XP_030837772.1 echinoidin-like [Strongylocentrotus purpuratus]	---	N	8510	a	1	---; ---; 1.171	---; ---; 0.829	1	1	1.171	0.829	1.171	0.829	0	0	0.00	0.00	---	---
3325	XP_030837776.1	---	XP_030837776.1 protein DEK-like [Strongylocentrotus purpuratus]	---	N	2121	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3326	XP_030837783.1	---	XP_030837783.1 nucleoside diphosphate kinase 7 [Strongylocentrotus purpuratus]	---	N	2122	a	21	0.988; 1.061; 0.977	0.898; 0.968; 1.033	3	3	0.988	0.968	1.009	0.966	0.046	0.068	4.56	7.04	0.419172777910149	0.419172777910149
3327	XP_030837791.1	---	XP_030837791.1 conserved oligomeric Golgi complex subunit 6 [Strongylocentrotus purpuratus]	---	N	2123	a	7	1.081; 0.908; 1.211	0.942; 1.081; 0.866	3	3	1.081	0.942	1.067	0.963	0.152	0.109	14.25	11.32	0.391482492342642	0.391482492342642
3328	XP_030837798.1	---	XP_030837798.1 NHL repeat-containing protein 3 [Strongylocentrotus purpuratus]	---	N	2124	a	8	0.784; 1.082; 0.754	0.821; 1.915; 1.023	3	3	0.784	1.023	0.873	1.253	0.181	0.582	20.73	46.45	0.341498458599377	0.341498458599377
3329	XP_030837803.1	---	XP_030837803.1 mitochondrial intermediate peptidase-like [Strongylocentrotus purpuratus]	---	N	2125	a	2	0.502; 1.067; 0.734	---; 2.304; 1.004	3	2	0.734	1.654	0.768	1.654	0.284	0.919	36.98	55.56	---	---
3330	XP_030837804.1	---	XP_030837804.1 stress response protein nst1 [Strongylocentrotus purpuratus]	---	N	2126	a	4	0.896; 0.849; 1.22	3.017; 0.968; 1.285	3	3	0.896	1.285	0.988	1.757	0.202	1.103	20.45	62.78	0.300954602112201	0.300954602112201
3331	XP_030837807.1	---	XP_030837807.1 uncharacterized protein LOC763378 [Strongylocentrotus purpuratus]	---	N	2127	a	11	0.998; 1; 1.002	1.028; 0.624; 0.987	3	3	1.000	0.987	1.000	0.880	0.002	0.222	0.20	25.23	0.401677875595257	0.401677875595257
3332	XP_030837810.1	---	XP_030837810.1 40S ribosomal protein S7 [Strongylocentrotus purpuratus]	---	N	5776	a	3	0.905; 1.033; 0.995	1.208; 0.872; 1.046	3	3	0.995	1.046	0.978	1.042	0.066	0.168	6.75	16.12	0.57029397757344	0.57029397757344
3333	XP_030837814.1	---	XP_030837814.1 ribonuclease H1-like [Strongylocentrotus purpuratus]	---	N	2128	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3334	XP_030837816.1	---	XP_030837816.1 protein FORGETTER 1 isoform X1 [Strongylocentrotus purpuratus]	---	N	2129	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3335	XP_030837820.1	---	XP_030837820.1 structural maintenance of chromosomes protein 4 isoform X1 [Strongylocentrotus purpuratus]	---	N	5777	a	9	0.992; 1.077; 1	0.954; 1.028; 0.94	3	3	1.000	0.954	1.023	0.974	0.047	0.047	4.59	4.83	0.271704230577788	0.271704230577788
3336	XP_030837825.1	---	XP_030837825.1 cyclin-C isoform X1 [Strongylocentrotus purpuratus]	---	N	5778	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3337	XP_030837837.1	---	XP_030837837.1 replication protein A 32 kDa subunit-B-like isoform X1 [Strongylocentrotus purpuratus]	---	N	5779	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3338	XP_030837838.1	---	XP_030837838.1 kidney mitochondrial carrier protein 1 [Strongylocentrotus purpuratus]	---	N	2130	a	4	1.053; 1.139; 0.847	0.617; 1.212; 0.854	3	3	1.053	0.854	1.013	0.894	0.150	0.300	14.81	33.56	0.572719576830952	0.572719576830952
3339	XP_030837839.1	---	XP_030837839.1 dynein assembly factor with WDR repeat domains 1 [Strongylocentrotus purpuratus]	---	N	5780	a	18	0.904; 1.323; 0.989	0.833; 0.941; 1.035	3	3	0.989	0.941	1.072	0.936	0.221	0.101	20.62	10.79	0.389119265053389	0.389119265053389
3340	XP_030837845.1	---	"XP_030837845.1 propionyl-CoA carboxylase beta chain, mitochondrial [Strongylocentrotus purpuratus]"	---	N	2131	a	28	0.86; 1.094; 0.881	0.995; 1.359; 0.988	3	3	0.881	0.995	0.945	1.114	0.129	0.212	13.65	19.03	0.304252792102739	0.304252792102739
3341	XP_030837847.1	---	"XP_030837847.1 acetyl-coenzyme A synthetase, cytoplasmic-like [Strongylocentrotus purpuratus]"	---	N	5781	a	2	---; ---; 1.177	---; ---; 0.823	1	1	1.177	0.823	1.177	0.823	0	0	0.00	0.00	---	---
3342	XP_030837849.1	---	"XP_030837849.1 very long-chain specific acyl-CoA dehydrogenase, mitochondrial [Strongylocentrotus purpuratus]"	---	N	2133	a	37	1.103; 0.793; 0.863	1.368; 0.993; 1.032	3	3	0.863	1.032	0.920	1.131	0.163	0.206	17.72	18.21	0.235740926810038	0.235740926810038
3343	XP_030837850.1	---	"XP_030837850.1 trimethyllysine dioxygenase, mitochondrial isoform X1 [Strongylocentrotus purpuratus]"	---	N	5782	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3344	XP_030837854.1	---	XP_030837854.1 importin subunit alpha-3 [Strongylocentrotus purpuratus]	---	N	2134	a	18	1.095; 1.107; 0.949	0.997; 0.986; 0.852	3	3	1.095	0.986	1.050	0.945	0.088	0.081	8.38	8.57	0.20120845026834	0.20120845026834
3345	XP_030837855.1	---	XP_030837855.1 eukaryotic translation initiation factor 3 subunit I [Strongylocentrotus purpuratus]	---	N	5783	a	2	1.103; 1.127; 0.937	0.979; 0.883; 1.326	3	3	1.103	0.979	1.056	1.063	0.103	0.233	9.75	21.92	0.964354907156717	0.964354907156717
3346	XP_030837862.1	---	XP_030837862.1 putative uncharacterized protein CXorf58 [Strongylocentrotus purpuratus]	---	N	2135	a	3	0.822; 0.995; 0.8	1.244; 2.297; 1	3	3	0.822	1.244	0.872	1.514	0.107	0.689	12.27	45.51	0.186470257465749	0.186470257465749
3347	XP_030837863.1	---	XP_030837863.1 LOW QUALITY PROTEIN: intraflagellar transport protein 80 homolog [Strongylocentrotus purpuratus]	---	N	2136	a	20	1.009; 1.01; 1.011	0.859; 0.971; 1.031	3	3	1.010	0.971	1.010	0.954	0.001	0.087	0.10	9.12	0.326333392168999	0.326333392168999
3348	XP_030837871.1	---	XP_030837871.1 mediator of RNA polymerase II transcription subunit 14 [Strongylocentrotus purpuratus]	---	N	2137	a	20	1.142; 0.988; 1.094	0.877; 0.855; 0.979	3	3	1.094	0.877	1.075	0.904	0.079	0.066	7.35	7.30	0.0450778215260516	0.0450778215260516
3349	XP_030837875.1	---	XP_030837875.1 trafficking protein particle complex subunit 12-like isoform X1 [Strongylocentrotus purpuratus]	---	N	5840	b	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3350	XP_030837892.1	---	XP_030837892.1 cell wall protein DAN4-like [Strongylocentrotus purpuratus]	---	N	2138	a	2	0.767; 0.754; ---	3.306; 1.272; 1	2	3	0.760	1.272	0.760	1.859	0.009	1.260	1.18	67.78	---	---
3351	XP_030837893.1	---	XP_030837893.1 pseudouridine-5'-phosphatase-like [Strongylocentrotus purpuratus]	---	N	5784	a	1	1.505; 0.986; 1.044	0.997; 0.933; 1.003	3	3	1.044	0.997	1.178	0.978	0.284	0.039	24.11	3.99	0.292567275811958	0.292567275811959
3352	XP_030837896.1	---	XP_030837896.1 DNA polymerase alpha catalytic subunit [Strongylocentrotus purpuratus]	---	N	2139	a	8	0.634; 1.157; 1.124	0.387; 1.056; 1.057	3	3	1.124	1.056	0.972	0.833	0.293	0.387	30.14	46.46	0.647170850404381	0.647170850404381
3353	XP_030837901.1	---	XP_030837901.1 histone deacetylase complex subunit SAP130 [Strongylocentrotus purpuratus]	---	N	2140	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3354	XP_030837902.1	---	"XP_030837902.1 FAST kinase domain-containing protein 1, mitochondrial-like [Strongylocentrotus purpuratus]"	---	N	2141	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3355	XP_030837913.1	---	XP_030837913.1 uncharacterized protein LOC100891607 isoform X4 [Strongylocentrotus purpuratus]	---	N	5785	a	1	---; 0.509; 1	---; ---; 1.138	2	1	0.754	1.138	0.754	1.138	0.347	0	46.02	0.00	---	---
3356	XP_030837916.1	---	XP_030837916.1 DCN1-like protein 1 [Strongylocentrotus purpuratus]	---	N	2142	a	13	1.258; 0.96; 1.012	1.42; 0.779; 0.973	3	3	1.012	0.973	1.077	1.057	0.159	0.329	14.76	31.13	0.931355664777293	0.931355664777293
3357	XP_030837919.1	---	XP_030837919.1 replication factor C subunit 4-like [Strongylocentrotus purpuratus]	---	N	2143	a	29	0.982; 1.212; 1.13	0.824; 0.919; 1.063	3	3	1.130	0.919	1.108	0.935	0.117	0.120	10.56	12.83	0.148798660276181	0.148798660276181
3358	XP_030837926.1	---	XP_030837926.1 mediator of RNA polymerase II transcription subunit 11-like [Strongylocentrotus purpuratus]	---	N	8890	a	1	1; 0.813; ---	---; 1.505; ---	2	1	0.906	1.505	0.906	1.505	0.132	0	14.57	0.00	---	---
3359	XP_030837928.1	---	"XP_030837928.1 phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2B isoform X1 [Strongylocentrotus purpuratus]"	---	N	5786	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3360	XP_030837933.1	---	XP_030837933.1 arginine and glutamate-rich protein 1-like [Strongylocentrotus purpuratus]	---	N	2144	a	9	1.064; 1.129; 0.993	1.365; 0.973; 0.717	3	3	1.064	0.973	1.062	1.018	0.068	0.326	6.40	32.02	0.831651534613318	0.831651534613318
3361	XP_030837937.1	---	XP_030837937.1 mucin-5AC-like [Strongylocentrotus purpuratus]	---	N	2145	a	2	1.129; 0.521; 0.931	1.539; 0.694; 1.126	3	3	0.931	1.126	0.860	1.120	0.310	0.423	36.05	37.77	0.439743695590571	0.439743695590571
3362	XP_030837947.1	---	XP_030837947.1 AP-1 complex subunit sigma-2 isoform X1 [Strongylocentrotus purpuratus]	---	N	5787	a	2	1.194; 1.049; 1.139	0.874; 0.922; 0.871	3	3	1.139	0.874	1.127	0.889	0.073	0.029	6.48	3.26	0.00628758663540377	0.00628758663540377
3363	XP_030837949.1	---	XP_030837949.1 AP-1 complex subunit sigma-2 isoform X2 [Strongylocentrotus purpuratus]	---	N	5787	b	2	0.404; 0.961; 1.502	3.044; 0.861; 1.011	3	3	0.961	1.011	0.956	1.639	0.549	1.219	57.43	74.37	0.426324427438697	0.426324427438697
3364	XP_030837950.1	---	XP_030837950.1 AP-1 complex subunit sigma-2 isoform X3 [Strongylocentrotus purpuratus]	---	N	5787	c	1	2.122; 1.055; 0.649	1.396; 0.76; 0.945	3	3	1.055	0.945	1.275	1.034	0.761	0.327	59.69	31.62	0.639837459368135	0.639837459368135
3365	XP_030837959.1	---	XP_030837959.1 protein IWS1 homolog [Strongylocentrotus purpuratus]	---	N	2146	a	9	1.078; 1.023; 0.878	0.764; 0.777; 1.2	3	3	1.023	0.777	0.993	0.914	0.103	0.248	10.37	27.13	0.636033556547817	0.636033556547817
3366	XP_030837964.1	---	XP_030837964.1 ankyrin repeat domain-containing protein 42 isoform X2 [Strongylocentrotus purpuratus]	---	N	2147	a	12	0.985; 1; 1.295	0.764; 0.816; 0.973	3	3	1.000	0.816	1.093	0.851	0.175	0.109	16.01	12.81	0.111136650241041	0.111136650241041
3367	XP_030837967.1	---	XP_030837967.1 myosin-VIIa [Strongylocentrotus purpuratus]	---	N	2148	a	96	0.997; 0.975; 0.923	1.147; 1.026; 0.995	3	3	0.975	1.026	0.965	1.056	0.038	0.080	3.94	7.58	0.150754710604615	0.150754710604615
3368	XP_030837968.1	---	"XP_030837968.1 glutathione reductase, mitochondrial [Strongylocentrotus purpuratus]"	---	N	2149	a	34	1.031; 1.141; 1.04	0.863; 0.977; 1	3	3	1.040	0.977	1.071	0.947	0.061	0.073	5.70	7.71	0.0876567177131921	0.0876567177131921
3369	XP_030837973.1	---	XP_030837973.1 unconventional myosin-XVI isoform X1 [Strongylocentrotus purpuratus]	---	N	2150	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3370	XP_030837976.1	---	XP_030837976.1 formin-like protein 5 [Strongylocentrotus purpuratus]	---	N	2151	a	4	0.968; 0.924; 1.313	0.973; 0.949; 0.89	3	3	0.968	0.949	1.068	0.937	0.213	0.043	19.94	4.59	0.35528654503523	0.35528654503523
3371	XP_030837977.1	---	XP_030837977.1 autophagy-related protein 16 isoform X1 [Strongylocentrotus purpuratus]	---	N	5788	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
3372	XP_030837979.1	---	XP_030837979.1 putative glycerol kinase 5 [Strongylocentrotus purpuratus]	---	N	2152	a	15	1; 0.997; 1.15	0.95; 0.714; 1.07	3	3	1.000	0.950	1.049	0.911	0.087	0.181	8.29	19.87	0.301449158784058	0.301449158784058
3373	XP_030837980.1	---	XP_030837980.1 coiled-coil domain-containing protein 39 [Strongylocentrotus purpuratus]	---	N	2153	a	14	1.031; 1.173; 0.867	1.122; 0.982; 0.801	3	3	1.031	0.982	1.024	0.968	0.153	0.161	14.94	16.63	0.688394200250347	0.688394200250347
